CPU/GPU, rgb2Gray,reverse,gamma correction,direct resize(x2),direct resize(x0.5),linear resize(x2),linear resize(x0.5),gaussian filter,edge detection,k-means,gaussian pyramid
einstein,0.011792,0.500000,10.123154,0.857166,0.285633,4.697648,1.555149,29.931319,20.563271,14.878110,12.555556
castle,1.317527,0.713929,14.318726,1.007629,0.409054,5.350820,0.481232,36.312825,24.642857,9.168963,20.784340
lena,1.221680,0.599808,15.095208,1.007556,0.347736,5.320891,0.608590,36.321993,24.690492,18.689231,21.220578
boat,1.624855,0.817737,14.035977,1.000000,0.260802,5.325793,0.636190,35.658933,24.905961,7.893338,21.199705
bike,1.349596,0.768877,15.389279,1.013024,0.434669,5.404260,0.666500,36.826568,25.270861,17.959786,22.214034
valve,1.944198,0.851611,15.112856,1.033052,0.434669,5.330773,0.707980,36.786297,25.291681,18.195436,22.285450
koala,1.914164,0.979600,17.279905,1.044180,0.634130,5.463870,1.000000,39.198833,26.373058,8.202881,27.448619
nausicaa,2.386807,1.074383,18.166981,1.085451,0.683650,5.582563,1.183663,39.890668,26.885400,25.899375,30.353902
oranges,2.609510,1.168948,17.728765,1.121448,0.812378,5.931122,1.432885,42.911041,26.759713,26.988703,34.626200
mountains,2.612948,1.173004,18.355146,1.140798,0.821972,6.103778,1.439372,43.906666,27.039346,28.789218,35.220700
tiger,2.639279,1.180924,19.097727,1.181693,0.863564,6.282781,1.449501,45.430880,25.926641,26.998289,36.172493
